,support,itemsets,length
40,0.6600361663652803,"frozenset({'yes_buyDrink', 'rain'})",2
44,0.47377938517179025,"frozenset({'yes_buyDrink', 'no_spec'})",2
41,0.46835443037974683,"frozenset({'yes_buyDrink', 'clothes_item'})",2
61,0.46112115732368897,"frozenset({'big_basket', 'yes_buyDrink'})",2
45,0.45207956600361665,"frozenset({'no_spec', 'rain'})",2
51,0.45207956600361665,"frozenset({'yes_buyDrink', 'male'})",2
42,0.4448462929475588,"frozenset({'clothes_item', 'rain'})",2
62,0.4394213381555154,"frozenset({'big_basket', 'rain'})",2
52,0.4394213381555154,"frozenset({'male', 'rain'})",2
77,0.4104882459312839,"frozenset({'rain', '31-50age'})",2
78,0.4104882459312839,"frozenset({'yes_buyDrink', '31-50age'})",2
158,0.3688969258589512,"frozenset({'small_basket', 'rain'})",2
122,0.3688969258589512,"frozenset({'yes_buyDrink', 'female'})",2
127,0.3688969258589512,"frozenset({'female', 'rain'})",2
94,0.3670886075949367,"frozenset({'yes_buyDrink', 'casual_attire'})",2
187,0.36347197106690776,"frozenset({'blankets_item', 'rain'})",2
154,0.35985533453887886,"frozenset({'small_basket', 'yes_buyDrink'})",2
176,0.3562386980108499,"frozenset({'yes_spec', 'rain'})",2
188,0.352622061482821,"frozenset({'yes_buyDrink', 'blankets_item'})",2
170,0.3471971066907776,"frozenset({'yes_spec', 'yes_buyDrink'})",2
46,0.3453887884267631,"frozenset({'no_spec', 'clothes_item'})",2
63,0.3399638336347197,"frozenset({'big_basket', 'no_spec'})",2
95,0.32730560578661844,"frozenset({'casual_attire', 'rain'})",2
64,0.325497287522604,"frozenset({'big_basket', 'clothes_item'})",2
53,0.3092224231464738,"frozenset({'clothes_item', 'male'})",2
183,0.30560578661844484,"frozenset({'yes_buyDrink', 'toddler_kids'})",2
80,0.30018083182640143,"frozenset({'clothes_item', '31-50age'})",2
79,0.30018083182640143,"frozenset({'big_basket', '31-50age'})",2
65,0.2965641952983725,"frozenset({'big_basket', 'male'})",2
54,0.2965641952983725,"frozenset({'no_spec', 'male'})",2
142,0.28933092224231466,"frozenset({'rain', 'moderate_bodySize'})",2
184,0.2875226039783002,"frozenset({'toddler_kids', 'rain'})",2
141,0.2857142857142857,"frozenset({'yes_buyDrink', 'moderate_bodySize'})",2
163,0.2820976491862568,"frozenset({'2basket', 'rain'})",2
106,0.2766726943942134,"frozenset({'yes_buyDrink', 'thin_bodySize'})",2
162,0.2766726943942134,"frozenset({'yes_buyDrink', '2basket'})",2
180,0.2766726943942134,"frozenset({'41-55mins_timespent', 'rain'})",2
144,0.27486437613019893,"frozenset({'yes_buyDrink', '1basket'})",2
81,0.27486437613019893,"frozenset({'no_spec', '31-50age'})",2
179,0.27486437613019893,"frozenset({'yes_buyDrink', '41-55mins_timespent'})",2
82,0.27124773960216997,"frozenset({'male', '31-50age'})",2
147,0.27124773960216997,"frozenset({'rain', '1basket'})",2
110,0.2694394213381555,"frozenset({'3basket', 'yes_buyDrink'})",2
107,0.26220614828209765,"frozenset({'rain', 'thin_bodySize'})",2
96,0.2603978300180832,"frozenset({'clothes_item', 'casual_attire'})",2
167,0.2585895117540687,"frozenset({'yes_buyDrink', 'fat_bodySize'})",2
123,0.25678119349005424,"frozenset({'no_spec', 'female'})",2
124,0.25678119349005424,"frozenset({'female', 'clothes_item'})",2
168,0.25678119349005424,"frozenset({'fat_bodySize', 'rain'})",2
113,0.25678119349005424,"frozenset({'yes_buyDrink', '<=25mins_timespent'})",2
171,0.2549728752260398,"frozenset({'yes_spec', 'male'})",2
111,0.2549728752260398,"frozenset({'3basket', 'rain'})",2
157,0.2549728752260398,"frozenset({'small_basket', 'male'})",2
136,0.2549728752260398,"frozenset({'formal_attire', 'rain'})",2
125,0.25316455696202533,"frozenset({'big_basket', 'female'})",2
97,0.2513562386980108,"frozenset({'big_basket', 'casual_attire'})",2
114,0.244122965641953,"frozenset({'<=25mins_timespent', 'rain'})",2
150,0.244122965641953,"frozenset({'chinese_race', 'rain'})",2
193,0.2423146473779385,"frozenset({'blankets_item', 'male'})",2
116,0.2423146473779385,"frozenset({'rain', 'no_kids'})",2
155,0.24050632911392406,"frozenset({'small_basket', 'clothes_item'})",2
98,0.24050632911392406,"frozenset({'no_spec', 'casual_attire'})",2
135,0.24050632911392406,"frozenset({'yes_buyDrink', 'formal_attire'})",2
117,0.23688969258589512,"frozenset({'yes_buyDrink', 'no_kids'})",2
172,0.23688969258589512,"frozenset({'small_basket', 'yes_spec'})",2
99,0.2332730560578662,"frozenset({'casual_attire', 'male'})",2
100,0.2314647377938517,"frozenset({'casual_attire', '31-50age'})",2
118,0.22965641952983726,"frozenset({'yes_buyDrink', 'washer_6'})",2
149,0.22965641952983726,"frozenset({'yes_buyDrink', 'chinese_race'})",2
198,0.22603978300180833,"frozenset({'traditional_attire', 'rain'})",2
191,0.22603978300180833,"frozenset({'yes_spec', 'blankets_item'})",2
126,0.22423146473779385,"frozenset({'female', '31-50age'})",2
189,0.22423146473779385,"frozenset({'big_basket', 'blankets_item'})",2
174,0.2206148282097649,"frozenset({'yes_spec', 'clothes_item'})",2
173,0.2206148282097649,"frozenset({'yes_spec', '31-50age'})",2
139,0.2206148282097649,"frozenset({'rain', 'dryer_8'})",2
138,0.2206148282097649,"frozenset({'yes_buyDrink', 'dryer_8'})",2
196,0.2206148282097649,"frozenset({'yes_buyDrink', 'foreigner_race'})",2
119,0.21880650994575046,"frozenset({'washer_6', 'rain'})",2
120,0.21880650994575046,"frozenset({'dryer_9', 'rain'})",2
121,0.21699819168173598,"frozenset({'yes_buyDrink', 'dryer_9'})",2
152,0.21518987341772153,"frozenset({'yes_buyDrink', '25-40mins_timespent'})",2
199,0.21338155515370705,"frozenset({'yes_buyDrink', 'traditional_attire'})",2
156,0.21338155515370705,"frozenset({'small_basket', 'no_spec'})",2
166,0.2115732368896926,"frozenset({'age>50', 'rain'})",2
165,0.2115732368896926,"frozenset({'yes_buyDrink', 'age>50'})",2
192,0.20976491862567812,"frozenset({'small_basket', 'blankets_item'})",2
175,0.20976491862567812,"frozenset({'yes_spec', 'big_basket'})",2
153,0.20976491862567812,"frozenset({'rain', '25-40mins_timespent'})",2
190,0.20795660036166366,"frozenset({'no_spec', 'blankets_item'})",2
185,0.20614828209764918,"frozenset({'toddler_kids', 'male'})",2
182,0.20253164556962025,"frozenset({'washer_3', 'rain'})",2
197,0.20253164556962025,"frozenset({'rain', 'foreigner_race'})",2
140,0.20253164556962025,"frozenset({'washer_4', 'yes_buyDrink'})",2
146,0.2007233273056058,"frozenset({'clothes_item', '1basket'})",2
145,0.2007233273056058,"frozenset({'no_spec', '1basket'})",2
108,0.2007233273056058,"frozenset({'no_spec', 'thin_bodySize'})",2
